name,line
Rick," Listen, Jerry, I don’t want to overstep my bounds or anything. It’s your house. It’s your world. You’re a real Julius Caesar but I’ll tell you some tell you how how I feel about school, Jerry. It’s a waste of time a bunch of people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it’s it’s not a place for smart people, Jerry and I know that’s not a popular opinion, but it’s my two cents on the issue."
Rick," This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them."
Jerry, What? For real?
 Goldenfold," All right, now, everybody get settled. Get away from the windows! Now, look, we’re gonna be dealing with some real serious stuff today. You might have heard of it. It’s called math and without it, none of us would even exist, so let’s jump right in. 2 plus 2."
All classmates except Morty, 4.
Morty, Jessica.
 Goldenfold, 5 plus 5.
All classmates except Morty, 10.
Morty, Jessica.
 Goldenfold," Okay, good. It’s time for the quiz."
Jessica," Hi, Morty."
Morty," Whoa! Hi, Jessica."
Jessica, Can I show these to you?
Morty, Wow. Th-they’re both great.
Jessica, Thank you. You know what I named these? My little Morties.
Morty," Uh, that’s flattering and a little weird."
Jessica, Do you know what I want you to do with them?
Morty, Rename them?
Jessica," Squeeze them. Manhandle them. Give them the business. See if you can shuffle them. I mean, really get in there and knock them around. No wrong answers."
Morty," Wow. Well, okay, Jessica. L-let’s give this a shot."
Jessica," Mm. Oh, Morty. What are you doing to me?"
Morty," Uh, I-I’m just doing my best."
 Goldenfold, Morty!
Morty, Jessica.
Morty, Je-Jessica. Jessica.
 Goldenfold, Not my fault this is happening.
Frank," Well, well, well."
Frank," ""Morning""? What was what is that supposed to mean? You making fun of me? Are you trying to say my family’s poor?"
Morty," Oh, geez, Frank. I don’t know if a knife is necessary. I mean, you know, y-you kind of had things handled without it."
Frank," You telling me how to bully now? Big mistake, Morty and now I’m gonna cut you, ‘cause my family’s rich."
Rick," There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands."
Morty," Oh, geez, Rick. W-w-what’d you do to Frank?"
Rick," It’s pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business. (Belch) It’s important. Come on, Morty."
Morty," I don’t know, Rick. I can’t leave school again."
Rick," Do you have any concept of how much higher the stakes get out there, Morty? What do you think I can just do it all by myself? Come on!"
Morty," Aw, geez. Okay. I guess I can skip history. What about Frank? I mean, shouldn’t you unfreeze him?"
Rick," I’ll do it later, Morty. He’ll be fine. Let’s go."
Summer," Hi, Frank. (Frank’s frozen foot breaks and he drops to the ground and shatters into a million pieces, dying) AAAAAAAAAAAHHHHH!!!!!!!"
Beth, Scalpel. Davin: Scalpel.
Jerry," (enters the room) Knock, knock."
Beth, Jerry?
Jerry," My manager gave me an hour for lunch, and I thought, ""hey, why not swing by where your wife works?"""
Beth," Jerry, please tell me you’re here for an incredibly urgent reason."
Jerry," Well, it’s lunch. I mean, it’s one of three meals that have existed for millennia."
Beth," Okay, I only ask, Jerry, because, as you know, my job involves performing heart surgery."
Jerry," Well, yeah, on horses."
Beth," Hey, Tom! We know when we’re losing him. (At the top of her lungs) WE CAN HEAR THE BEEPS!"
Rick," There she is. All right. Come on, Morty. Let’s go."
Morty," Oh, geez, okay."
Morty," Oh, man, Rick. What is this place?"
Rick," It’s Dimension 35-C, and it’s got the perfect climate conditions for a special type of tree, Morty, called a mega tree, and there’s fruit in those trees, and there’s seeds in those fruits. I’m talking about mega seeds. They’re they’re incredibly powerful, and I need them to help me with my research, Morty."
Morty," Oh, man, Rick. I’m looking around this place, and I’m starting to work up some anxiety about this whole thing."
Rick," All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You’re looking around, and it’s all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that’s how we grow as people. I’m no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we’re gonna be-"
Rick," I never seen that thing before in my life. I don’t even know what the hell it is! We got to get out of here, Morty! It’s gonna kill us! We’re gonna die! We’re gonna die, Morty!"
Rick," Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That’s the smell of adventure, Morty. That’s-that’s the smell of of-of-of a whole different evolutionary timeline."
Morty," All right, Rick, look how much longer is this gonna be? Shouldn’t I be back at school by now?"
Rick," Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there. (A weird looking monster is seen cooing and rolling around on the ground) What the hell is that thing? You think you’re gonna see that kind of thing at school? (offscreen) Look at it just lumbering around. It defies all logic, that thing."
Morty," Yeah, Rick, I get it. We’re surrounded by monsters. That’s kind of the reason why I want to leave."
Rick," Ta-ta-ta-ta-ta-ta. Morty, you see this?"
Rick," You see what we just stumbled upon, Morty? Any idea what that is down there?"
Morty, The mega trees?
Rick," That’s right, Morty the mega trees with the mega fruit on them and that’s what I’m talking about, Morty. That’s where my seeds are. If we would have done what you wanted, I would have never have found them, because you’re so in love with school."
Morty," All right, all right. So, what’s so special about these seeds, anyways?"
Rick," You ask a lot of questions, Morty. Not very charismatic. It makes you kind of an (belch) Under (belch) underfoot figure."
Rick," Just take these shoes, Morty. They’re (belch) special grappling shoes. When you’re wearing these things, these babies, you can basically just walk on any surface you want, Morty up, down, below, turn around to the left. These things really bring it all together."
Morty, AAAAAAAHHHH!!!!!!
Rick," You have to turn them on, Morty! The shoes have to be turned on!"
Beth," I am not putting my father in a home! He just came back into my life, and you want to grab him and stuff him under a mattress like last month’s Victoria’s secret?"
Jerry," I told you I was ordering you something for Valentine’s day. More importantly, your father is a horrible influence on our son."
Davin," Everything cool in here, Beth?"
Beth," It’s fine, Davin."
Davin," Okay, cool. You know, we did something great today. There’s nothing more noble and free than the heart of a horse."
Jerry," Since we’re fighting, if you ever have an affair with that guy, I will come to the hotel room and blow my brains out all over your naked bodies."
Beth," Look, I appreciate the stress you’re under, but Morty was having trouble in school way before my dad moved in, and the only influence I can see Rick having is that, for the first time in his life, Morty has a friend."
Beth," Uh, yeah, maybe I am. I’m my father’s daughter. I’m smart. Why do you think I’m a heart surgeon?"
Jerry," (Cough) Ahem, Horse heart surgeon."
Principal Vagina," Hello? Mrs. Smith? This is principal Vagina, no relation. I wonder if you and Morty’s father might be able to have a chat with me this afternoon?"
Rick," Morty, oh, you really d-did a number on (Offscreen) your legs right now. You know, you got to turn (Onscreen) the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze."
Morty," I’m in a lot of pain, Rick!"
Rick," Yeah, I can see that. But do you think you’ll still be able to help me collect my seeds, Morty?"
Rick," Okay, hold on just a second, Morty."
Morty, Ooh! Ohh! Ooh! Hnngh! Hoo! Ooh! Ohh! Aaaaagh! Oooooh!
Rick," Don’t worry about it, Morty. Just come help me get these seeds, all right, buddy?"
Morty," Sure thing, Rick."
Rick," Not that you asked, Morty, but what just happened there is I went into a future dimension with such advanced medicine that they had broken-leg serum at every corner drugstore. (Offscreen) The stuff was all over the place, Morty."
Morty," Wow, that’s pretty crazy, Rick."
Rick," There’s just one problem, Morty one little hang-up. The dimension I visited was so advanced, that (belch) they had also halted the aging process, and everyone there was young, Morty, and they had been forever. I was the only old person there, Morty. (belch) It was like I was some sort of, you know, celebrity, walking around. I-I was fascinating to them. There were a lot of attractive women there, Morty, and they they they they all wanted time with me. I had a lot of fun with a lot of young ladies, but I spent so much time there, my interdimensional portal device it’s got no charge left, Morty. It’s got no charge left."
Morty, What?!
Rick," It’s as good as garbage, Morty. It’s not gonna work anymore, Morty."
Morty," Oh, geez, Rick, that’s not good. W-what are we gonna do? I-I have to be back at school right now. How are we gonna get back home?"
Rick," There’s ways to get back home, Morty. It’s just it’s just gonna be a little bit of a hassle. We’re gonna have to go through interdimensional customs, so you’re gonna have to do me a real solid."
Morty, Uh-oh.
Rick," When we get to customs, I’m gonna need you to take these seeds into the bathroom, and I’m gonna need you to put them way up inside your butthole, Morty."
Morty, In my butt?
Rick," Put them way up inside there, as far as they can fit."
Morty," Oh, geez, Rick. I really don’t want to have to do that."
Rick," Well, somebody’s got to do it, Morty. Th-these seeds aren’t gonna get through customs unless they’re in someone’s rectum, Morty"
Morty, Uuuh.
Rick," And they’ll fall right out of mine. I’ve done this too many times, Morty. I mean, you’re young. Y-y-you’ve got your whole life ahead of you, and your anal cavity is still taut, yet malleable. You got to do it for grandpa, Morty. Y(belch)-you’ve got to put these seeds inside your butt."
Morty, In my butt?
Rick," Come on, Morty. Please, Morty. You have to do it, Morty."
Morty," Oh, man."
Principal Vagina," The fact is, your son, Morty, has attended this school for a total of seven hours over the last two months."
Beth, What? Why didn’t you notify us?
Principal Vagina, I done been notifying you. Have you not been getting the messages I’ve been leaving with Morty’s grandfather?
Jerry," Boom! Told you! In your face! He is ruining our child! Wait, what am I celebrating?"
Principal Vagina," Yeah, see, I thought something was fishy there, because it’s usually Morty’s grandpa that’s taking him out of school."
Beth, Summer?
Principal Vagina, We had a little incident. A student was frozen to death. (chuckles) And there’s no evidence that a Latino student did it! Everyone wants to take this to a racial place. I won’t let them.
Announcer, The glarp zone is for flarping and unglarping only.
Alien," So, I told him, ""give me the blimfarx,"" you know? This this guy he doesn’t understand interstellar currency."
Alien," It’s, like, I’m trying to eat a flimflam like, that’s what we eat on girvonesk."
Announcer, The glarp zone is for flarping and unglarping only.
Rick," I don’t like it here, Morty. I can’t abide bureaucracy. I don’t like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt?"
Morty," Yeah, Rick. Let’s just get this over with, okay? I mean, these things are pointy."
Rick," That means they’re good ones. You’re a good kid, Morty. Those mega seeds are super valuable to my work. You’ve been a huge help to me. I’m gonna be able to do a-(Belch)-all kind of things with them. It’s gonna be great, Morty. A-(Belch)-all kinds of science."
Gromfomite," Okay, next through. (Stops Morty) Except you. You go over there."
Rick, Why does he have to go over there?
Gromfomite, Random check. He’s got to go through the new machine.
Rick, What new (Belch) what new machine?
Gromfomite, It’s a new machine. It detects stuff all the way up your butt.
Rick," Run, Morty! Run!"
Morty, Aaaaaah!
Gromfomite, Red alert!
Morty, Ohhhhh!
Morty, Ohhhhhh!
Rick, Don’t think about it!
Rick," Ooh! Oh, nice, Morty! The student becomes the teacher."
Morty, Whoooooo!
Alien," Aah! Aw, hell, no, dawg. You know me I’m just trying to-"
Rick," I need to type in the coordinates to our home world, Morty. Cover me."
Morty," Oh, man. I mean, you know, I-I don’t want to shoot nobody."
Rick," They’re just robots, Morty! It’s okay to shoot them! They’re robots!"
Glenn, Aaaaah! My leg is shot off!
Other Gromfomite, Glenn’s bleeding to death! Someone call his wife and children!
Morty," They’re not robots, Rick!"
Rick," It’s a figure of speech, Morty. They’re bureaucrats. I don’t respect them. Just keep shooting, Morty. You have no idea what prison is like here!"
Morty, Holy crap! This is insane!
Rick," Come on, Morty! We got to get the hell out of here!"
Jessica, Wow. Did you just come into the cafeteria through a portal?
Jessica," You’re Morty, right?"
Rick," You can get his number later. Come on, Morty. We got to get out of here. You got to get those seeds out of your ass."
Rick," Oh, hi, Jerry. (poorly acting) Oh, my goodness, Morty! What are you doing out of class? We talked about this. Your-your parents and I are very disappointed in in this behavior… No? No takers?"
Rick, You guys should really not be touching that stuff. It’s beyond your reasoning.
Rick, Takes one to know one.
Rick, What-what are you guys doing with my stuff?
Beth, We’re moving you to a nursing home.
Rick," A nursing home? What are what are you, nuts? I’m a genius. I build robots for fun."
Jerry," Well, now you can build baskets and watch Paul Newman movies on VHS and mentally scar the boy scouts every Christmas."
Morty," Dad, mom, come on. Rick just needed my help is all."
Jerry," Morty, stay out of this. You are obviously not capable of judging these situations on your own."
Rick, What are you trying to say about Morty? That he’s stupid or something?
Beth," Oh, don’t high-road us, dad. You know fully well that Morty is the last child that needs to be missing classes."
Rick, I-I-I don’t know what you mean by that. Can-can-can you be a little bit more specific?
Jerry," Oh, for crying out- he’s got some kind of disability or something. Is that what you want us to say?"
Morty, I do?
Jerry," Well, duh doy, son. Look, I love you, Morty, but we both know you’re not as fast as the other kids, and if you want to compete in this world, you got to work twice as hard."
Morty," Aw, geez, dad. Y-you know, that’s a lot to drop on a kid all at once."
Rick," Morty, t-tell your parents the square root of pi."
Morty," Oh, come on, Rick. You know I can’t."
Rick," The square root of pi, Morty. Go!"
Morty, 1.77245385 Whoa!
Beth, What the hell?
Jerry, Holy crap. He’s right.
Rick," Morty, tell your parents the first law of Thermodynamics."
Morty," ""The increment in the internal energy of a system is equal to the increment of heat supplied to the system."" Wow! I’m so smart!"
Jerry, But-
Rick, I told the both of you school is stupid. It’s not how you learn things. Morty’s a gifted child. He has a special mind. That’s why he’s my little helper. He’s like me. He’s gonna be doing great science stuff later in his life. He’s too smart for school. He needs to keep hanging out and helping me.
Beth," Jerry, I don’t want whatever’s happening here to stop."
Jerry," No, I-I understand. Uh, maybe we overreacted. But he has to keep going to school."
Rick," Okay, Jerry. You drive a hard bargain, but what am I supposed to do? Say no? You-you really wear the pants around here. I just want you to know, between us, from now on, it’s gonna be clear communication."
Rick, No idea what you’re talking about.
Jerry," Okay. Well, uh, Morty, it’s your bedtime in an hour. Don’t stay up all night again. This is good, though. This can work. I think we can be a family and now, Beth, if you’ll have me, I would love to have you."
Beth, You know what? Okay.
Morty," Holy cow, Rick. I didn’t know hanging out with you was making me smarter."
Rick," Full disclosure, Morty it’s not. Temporary superintelligence is just a side effect of the mega seeds dissolving in your rectal cavity."
Morty," Aw, man."
Rick," Yeah, and once those seeds wear off, you’re gonna lose most of your motor skills, and you’re also gonna lose a significant amount of brain functionality for 72 hours, Morty."
Morty," Ohh, man. (Losing consciousness) Oh, geez! Ohh."
Rick," I’m sorry, Morty. It’s a bummer. In reality, you’re as dumb as they come and I needed those seeds real bad, and I had to give them up just to get your parents off my back, so now we’re gonna have to go get more"
TV, Coin collecting is considered the perfect hobby.
Jerry, What? Why are you looking at me? You want to go outside? Outside? (Sigh)
Jerry, Outside?
Jerry, Are you kidding me?! Come on!
Summer," Oh, my God."
Morty, What's wrong?
Jerry, Your idiot dog!
Morty," Oh, he he didn't mean it, dad. Did you, snuffles? You're a good boy."
Jerry," Don't praise him now, Morty! He just peed on the carpet! Bad dog! Bad!"
Rick," Morty, come on. I need your help tonight."
Jerry," Hey, wait, hold on a second, Rick. You wouldn't by any chance have some sort of crazy science thing you could whip up that might help make this dog a little smarter, would you?"
Rick," I thought the whole point of having a dog was to feel superior, Jerry. If I were you, I wouldn't pull that thread. Come on, Morty."
Jerry," Listen, Rick, if you're gonna stay here rent-free and use my son for your stupid science, the least you could do is put a little bit of it to use for the family. You make that dog smart or Morty's grounded!"
Summer, Ha-ha!
Morty," Aw, man!"
Rick," Boy, you really got me up against a wall this time, Jerry."
Rick," All right, Ruffles What's his name?"
Morty, Snuffles.
Rick," Snuffles, shake."
Rick, Roll over.
Rick, Go to the bathroom.
Jerry, Holy crap!
Summer, No way.
Rick," Yeah, you're at the top of your game now, Jerry. Have fun. Come on, Morty."
Morty," That was fantastic, Rick!"
Rick," Yeah, Morty, if you like that, boy, you're you're really going to flip your lid over this one."
Morty, W-w-w-what is it?
Rick," It's a device, Morty, that when you put it in your ear, you can enter people's dreams, Morty. It's just like that movie that you keep crowing about."
Morty," You talking about ""Inception""?"
Rick," That's right, Morty. This is gonna be a lot like that, except, you know, it's gonna may-(Belch)-be make sense."
Morty," ""Inception"" made sense."
Rick," You don't have to try to impress me, Morty. Listen, tonight we're gonna go into the home of your math teacher, Mr. Goldenfold, and we're gonna incept the idea in his brain to give you A's in math, Morty. That way you can, you know, y-you're gonna help me with my science, Morty, all the time."
Morty," Geez, Rick, in the time it took you to make this thing, couldn't you have just, you know, helped me with my homework?"
Rick," Are you listening to me, Morty? Homework is stupid. The whole point is to get less of it."
Rick," Come on, let's just get over there and deal with this thing. W-we're gonna incept your teacher. You're frustrating me."
 Pancakes, You don't know me!
 Goldenfold,"' Nice, Mrs. Pancakes real nice."
Commercial Announcer," Next week on ""The days and nights of Mrs. Pancakes"""
 Pancakes, You don't know me!
 Pancakes," Then let me get to know yo, damn it!"
Rick, Uh-oh! Spoilers!
Rick, I'm a full season behind.
Morty," Wow, Rick, I can't believe we're sitting around, standing around in Mr. Goldenfold's house. It's really weird."
Rick," It's about to get a whole lot weirder, Morty."
 Pancakes, Wheat thins. Wheat thins.
 Goldenfold, I'll take two.
 Pancakes," Oh, I think you've had enough, sir."
Goldenfold, You don't know me.
Rick," All right, Morty, time to make our move."
 Goldenfold, Make it bounce.
 Pancakes," No, you didn't."
 Goldenfold," Oh, jiggle it now."
 Pancakes, You better stop with that.
Rick, Allahu (Belch) akbar! We're gonna take control of this plane! We're gonna 9/11 it unless Morty Smith gets better grades in math!
Rick," Hey! I said nobody move, buddy!"
 Goldenfold, The name's not buddy. It's Goldenfold. Nice to wheat you!
Rick," Take cover, Morty!"
 Goldenfold, AAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!!
Morty, Ooohhh!
Rick," Goldenfold's got more control here than I anticipated. I mean, the guy teaches high-school math. (Belch) I didn't take him for an active dreamer. We've got to take him out so he wakes up, Morty but we can't get killed. If you get killed in someone else's dream, you die for real, Morty."
Morty, What?! Are you kidding me?! Ohhhhhh!
Rick," Don't be a baby! You avoid getting shot in real life all the time, Morty. Just do the same thing here, and we'll be fine!"
Jerry, Now bring me my slippers.
Summer," Now, be my footstool, Snuffles."
Jerry, This is what I'm talking about. This is a dog.
Jerry," You said the same thing, equally sarcastically, at our wedding and guess what?"
Snuffles, Ooowwwwowowwaawaa!
Summer," Oh, my God! He's trying to tell us something. (Offscreen) That is so awesome."
Snuffles, Aaaawwaaaaawaawa!
Jerry," Aw, he's saying ""I love lasagna""."
Snuffles, Ooooyayawawa!
Summer," He's saying ""I love Obama"". (Offscreen) So cute! I'm posting this (Onscreen) online, like, right now."
Jerry, I should call Bob Saget. Is that still a thing?
Snuffles, Hmm?
Rick," Goldenfold, we're coming out! We just want to talk!"
Goldenfold, Why would I negotiate with you?
Rick, Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.
 Goldenfold, Mrs. Pancakes! AAAAAAAAHHHH!!!!!
Plane Passengers, AAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHH!!!!!!!!!!!!!!
Rick," Oh, no, Morty. His subconscious is panicking."
Plane Passenger, Oh no! Run!
Plane Passengers, AAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHH!!!!!!!!!!!!!!!
Rick, Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!
Morty, Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa!
Morty, AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!
Rick," Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!"
 Pancakes," Hey, you don't know me!"
Morty," Oh, no, Rick, look! Goldenfold landed the plane, and he's created a (Offscreen) mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!"
Rick," Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!"
 Pancakes, You don't know m-
Rick," All right, let's go."
Morty," Oh, man, Rick, this is pretty weird."
Rick," Don't judge, Morty."
Morty," Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up."
Rick," Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch."
M Monster," Ooh, hey!"
Morty," Ooh, oh! Oh, man."
M Monster, Come and join us.
Morty," I'm sorry. No, no."
M Monster," Ooh, come here!"
Morty," No, thanks!"
Giant Frog Woman," Ooh, wow! - Come over here, baby!"
Morty," No, I'm okay."
Morty, Whoa!
Summer," Hey, there, stranger. What do you think of these things?"
Morty, Ohh! Oh! Gross! Gross!
Rick," Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here."
Morty," It's Summer! Aw, geez."
Summer," Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich."
Centaur, Sexual hang-ups in the pleasure chamber are punishable by death! Off with their heads!
Rick," Time to go another dream deep, Morty!"
Morty, What the hell? Why would Mr. Goldenfold's dream version of Mrs.
Rick," Geez, I don't know, Morty. Wha-what do you want from me?"
Scary Terry," Welcome to your nightmare, bitch! RAAAAAWWWRRR!"
Rick," Oh, here we go!"
Morty, Ooooooohhhhh! Holy crap!
Rick, Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.
Scary Terry," I'm scary Terry. You can run, but you can't hide, bitch!"
Jerry," Whoa! Hey, buddy. What you got going on there?"
Snuffles, Snuffles fix. Make better.
Summer, Humans understand snuffles now? That is awesome!
Snuffles, Snuffles want to be understood. Snuffles need to be understood.
Jerry," Okay, yeah. I get what Beth was talking about. Fun's over."
Summer," Whoa, dad, you can't, like, endow a creature with sentience and then rip it away."
Jerry, Why not?
Summer, I don't know. It's Indian giving.
TV," A sophisticated predator, nature's perfect killing machine, the vicious wolf stalks its prey with purpose and skill. It was only with years of selective breeding and genetic altering that this noble beast was transformed into man's subservient little buddy."
Summer," Aw! Oh, my God! He recognizes the other dogs on TV."
Little Girl," ""A,"" ""b"" his name is scary Terry ""C,"" ""d"" he's very scary."
Rick," Holy crap! We have to escape into someone else's dreams, Morty!"
Morty," Oh, man, oh, man, oh, man!"
Little Girl," ""E,"" ""f"" he'll design your death"
Rick, The little girl!
Morty, Huh?
Little Girl," ""J,"" ""k,"" he'll really ruin your day."
Rick," Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty."
Morty," Oh, geez, Rick. W-w-whoa, this isn't good."
Scary Terry," Nothing but fear from here on out, bitch!"
Morty, Ohhhh!
Rick," Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!"
Snuffles," Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?"
Snuffles, Do not call me that!
Snuffles," ""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white."
Summer," Okay, Snowball, just calm down, okay? You're scaring me."
Snuffles, Scaring you?
Summer, AAAAAAAHHH!!!!!
Snuffles," Tell me, Summer, if a human was born with stumpy legs, would they breed it with another deformed human and put their children on display like the dachshund?"
Summer, Uhhh ...
Jerry," Hey. Oh, wow. Okay, is is is everything okay in here?"
Snuffles," Jerry, come to rub my face in urine again?"
Summer, Yeah. Totally. Let's go.
Snuffles, You will walk when it is time to walk.
Rick, What are we here for again? Incepting? We're trying to incept-
Morty," We're trying to incept me to get an ""A"" in math?"
Rick," Oh, yeah."
Scary Terry," Buckle up, bitch!"
Morty, Ooooooaaahhh!
Morty," Man, he sure says ""bitch"" a lot!"
Scary Terry," You can run, but you can't hide, bitch!"
Rick," Hold on, Morty. Y-you know what? He keeps saying we can run but we can hide. I say we try hiding."
Morty, But that's the opposite of what-
Rick," Yeah, well, since when are we taking this guy's advice on anything?"
Morty," Hey, you know what? You got a really good point there, Rick. Like, if the truth was that we could hide, it's not like he'd be sharing that information with us, you know? I-I-I think it's a good idea, Rick."
Rick, Worst-case scenario we're back to running.
Morty," Wow, you know what? I mean, it looks like we could have just hid this whole time. Boy, Rick, that was some good thinking."
Rick," Thanks, Morty. Yeah, it's nice to be on the same page every once in a while."
Scary Terry, You can run But you can't hide! (Yawn)
Rick," Oh, this is perfect, Morty. Look at that. He's getting sleepy. Just a little bit longer before he calls it a day. That's when we make our move."
Jerry," Snuffles, we didn't mean you any harm! This is a huge misunderstanding."
Summer," Dad, he wants to be called snowball."
Jerry," Well, I'm not calling him that. That's ridiculous."
Snuffles," You're being very aggressive, Jerry. Perhaps tomorrow Dr. Scraps will solve that problem with a bit of surgery."
Jerry, Huh! You think you can control me with a haircut?
Scary Melissa," Hi, honey. You're home early. How was your day?"
Scary Terry, I don't want to talk about it!
Scary Terry," Yeah, I know, I know. I shouldn't take my anger out on you or Scary Brandon. I love you, Melissa."
Scary Melissa," I love you, too, Terry."
Rick," Morty, this is perfect. After a little scary coitus, they should be fast asleep and then we'll incept him."
Rick, Looks like scary Terry's having a nightmare.
Morty," Oh, boy, Rick. I can only imagine what horrible things must, you know scare Scary Terry."
Scary Terry," Oh, no! I'm late to class, bitch! Oh, no! I'm not wearing any pants!"
Monster Teacher," Ah, well, Mr. Terry, why don't you tell the whole class the proper wordplay to use when one is chasing one's victim through a pumpkin patch?"
Scary Terry," Oh, uh, um ... ""Bitch."""
Monster Teacher," Oh, come on, Terry, you can't think of a pun involving pumpkins, bitch? Morty: Hey, leave him alone!"
Rick," Yeah, this is a bunch of bullcrap. Who cares what stupid pun you make when you kill someone? Why don't you let the poor guy say whatever he wants?"
